"cleaned_id","sample_id.x","species.x","sample_id.y","species.y","sample_title","sample_accession","scientific_name","library_name","base_count","Accession","sample_description","tissue_type","locality","population","longitude","latitude"
"ERR9709215","unclassified-kra_ERR9709215_","Clupea","unclassified-kra_ERR9709215_","Clupea","BAL_22_M-HER015","SAMEA14369681","Clupea harengus","M-HER015",14943773286,"ERS11963909","Atlantic Spring Spawning herring","tissue","Måseskär, Sweden, 2003","MASE",11.33333,58.1
"ERR9709216","unclassified-kra_ERR9709216_","Clupea","unclassified-kra_ERR9709216_","Clupea","BAL_22_M-HER016","SAMEA14369682","Clupea harengus","M-HER016",17054693188,"ERS11963910","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002","KALI",23.15,65.85
"ERR9709217","unclassified-kra_ERR9709217_","Clupea","unclassified-kra_ERR9709217_","Clupea","BAL_22_M-HER017","SAMEA14369683","Clupea harengus","M-HER017",17350278406,"ERS11963911","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002","KALI",23.15,65.85
"ERR9709218","unclassified-kra_ERR9709218_","Clupea","unclassified-kra_ERR9709218_","Clupea","BAL_22_M-HER018","SAMEA14369684","Clupea harengus","M-HER018",15100581652,"ERS11963912","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002","KALI",23.15,65.85
"ERR9709219","unclassified-kra_ERR9709219_","Clupea","unclassified-kra_ERR9709219_","Clupea","BAL_22_M-HER019","SAMEA14369685","Clupea harengus","M-HER019",13004662694,"ERS11963913","Baltic Spring Spawning herring","tissue","Kalmarsund, Sweden, 2010","KALM",16.4492806,56.7323889
"ERR9709220","unclassified-kra_ERR9709220_","Clupea","unclassified-kra_ERR9709220_","Clupea","BAL_22_M-HER020","SAMEA14369686","Clupea harengus","M-HER020",11510357634,"ERS11963914","Baltic Spring Spawning herring","tissue","Kalmarsund, Sweden, 2010","KALM",16.4492806,56.7323889
"ERR9709221","unclassified-kra_ERR9709221_","Clupea","unclassified-kra_ERR9709221_","Clupea","BAL_22_M-HER021","SAMEA14369687","Clupea harengus","M-HER021",21312931240,"ERS11963915","Baltic Spring Spawning herring","tissue","Kalmarsund, Sweden, 2010","KALM",16.4492806,56.7323889
"ERR9709222","unclassified-kra_ERR9709222_","Clupea","unclassified-kra_ERR9709222_","Clupea","BAL_22_M-HER022","SAMEA14369688","Clupea harengus","M-HER022",17725051648,"ERS11963916","Atlantic Spring Spawning herring","fin tip","Idefjord - Inner, Norway, 2010","IDEI",11.4,59.05
"ERR9709223","unclassified-kra_ERR9709223_","Clupea","unclassified-kra_ERR9709223_","Clupea","BAL_22_M-HER023","SAMEA14369689","Clupea harengus","M-HER023",18301398112,"ERS11963917","Atlantic Spring Spawning herring","fin tip","Idefjord - Inner, Norway, 2010","IDEI",11.4,59.05
"ERR9709224","unclassified-kra_ERR9709224_","Clupea","unclassified-kra_ERR9709224_","Clupea","BAL_22_M-HER024","SAMEA14369690","Clupea harengus","M-HER024",15155926474,"ERS11963918","Atlantic Spring Spawning herring","fin tip","Idefjord - Inner, Norway, 2010","IDEI",11.4,59.05
"ERR9709225","unclassified-kra_ERR9709225_","Clupea","unclassified-kra_ERR9709225_","Clupea","BAL_22_M-HER025","SAMEA14369691","Clupea harengus","M-HER025",21165140292,"ERS11963919","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010","BLEK",15.667,56.100
"ERR9709226","unclassified-kra_ERR9709226_","Clupea","unclassified-kra_ERR9709226_","Clupea","BAL_22_M-HER026","SAMEA14369692","Clupea harengus","M-HER026",15449552014,"ERS11963920","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010","BLEK",15.667,56.100
"ERR9709227","unclassified-kra_ERR9709227_","Clupea","unclassified-kra_ERR9709227_","Clupea","BAL_22_M-HER027","SAMEA14369693","Clupea harengus","M-HER027",16062695366,"ERS11963921","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010","BLEK",15.667,56.100
"ERR9709228","unclassified-kra_ERR9709228_","Clupea","unclassified-kra_ERR9709228_","Clupea","BAL_22_M-HER028","SAMEA14369694","Clupea harengus","M-HER028",14403640548,"ERS11963922","Atlantic Spring Spawning herring","tissue","Idefjord - Outer, Norway, 2010","IDEO",11,59
"ERR9709229","unclassified-kra_ERR9709229_","Clupea","unclassified-kra_ERR9709229_","Clupea","BAL_22_M-HER029","SAMEA14369695","Clupea harengus","M-HER029",13836387002,"ERS11963923","Atlantic Spring Spawning herring","tissue","Idefjord - Outer, Norway, 2010","IDEO",11,59
"ERR9709230","unclassified-kra_ERR9709230_","Clupea","unclassified-kra_ERR9709230_","Clupea","BAL_22_M-HER030","SAMEA14369696","Clupea harengus","M-HER030",22224888190,"ERS11963924","Atlantic Spring Spawning herring","tissue","Idefjord - Outer, Norway, 2010","IDEO",11,59
"ERR9709231","unclassified-kra_ERR9709231_","Clupea","unclassified-kra_ERR9709231_","Clupea","BAL_22_M-HER034","SAMEA14369697","Clupea harengus","M-HER034",18161716770,"ERS11963925","Atlantic Spring Spawning herring","tissue","Måseskär, Sweden, 2003","MASE",11.33333,58.1
"ERR9709234","unclassified-kra_ERR9709234_","Clupea","unclassified-kra_ERR9709234_","Clupea","BAL_22_M-HER037","SAMEA14369700","Clupea harengus","M-HER037",15987533304,"ERS11963928","Atlantic Spring Spawning herring","tissue","Måseskär, Sweden, 2003","MASE",11.33333,58.1
"ERR9709235","unclassified-kra_ERR9709235_","Clupea","unclassified-kra_ERR9709235_","Clupea","BAL_22_M-HER038","SAMEA14369701","Clupea harengus","M-HER038",16070797422,"ERS11963929","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003","RISO",9.2342,58.7206
"ERR9709236","unclassified-kra_ERR9709236_","Clupea","unclassified-kra_ERR9709236_","Clupea","BAL_22_M-HER039","SAMEA14369702","Clupea harengus","M-HER039",12996757844,"ERS11963930","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003","RISO",9.2342,58.7206
"ERR9709238","unclassified-kra_ERR9709238_","Clupea","unclassified-kra_ERR9709238_","Clupea","BAL_22_M-HER045","SAMEA14369704","Clupea harengus","M-HER045",16197661280,"ERS11963932","Atlantic Spring Spawning herring","tissue","Idefjord - Outer, Norway, 2010","IDEO",11,59
"ERR9709240","unclassified-kra_ERR9709240_","Clupea","unclassified-kra_ERR9709240_","Clupea","BAL_22_M-HER052","SAMEA14369706","Clupea harengus","M-HER052",17375275248,"ERS11963934","Baltic Spring Spawning herring","tissue","Kalmarsund, Sweden, 2010","KALM",16.4492806,56.7323889
"ERR9709241","unclassified-kra_ERR9709241_","Clupea","unclassified-kra_ERR9709241_","Clupea","BAL_22_M-HER053","SAMEA14369707","Clupea harengus","M-HER053",14738021592,"ERS11963935","Atlantic Spring Spawning herring","tissue","Karmoy, Norway, 2002","KARM",5.25,59.25
"ERR9709242","unclassified-kra_ERR9709242_","Clupea","unclassified-kra_ERR9709242_","Clupea","BAL_22_M-HER054","SAMEA14369708","Clupea harengus","M-HER054",18112742034,"ERS11963936","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002","KALI",23.15,65.85
"ERR9709243","unclassified-kra_ERR9709243_","Clupea","unclassified-kra_ERR9709243_","Clupea","BAL_22_M-HER055","SAMEA14369709","Clupea harengus","M-HER055",17706328554,"ERS11963937","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002","KALI",23.15,65.85
"ERR9709244","unclassified-kra_ERR9709244_","Clupea","unclassified-kra_ERR9709244_","Clupea","BAL_22_M-HER056","SAMEA14369710","Clupea harengus","M-HER056",18509756066,"ERS11963938","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002","KALI",23.15,65.85
"ERR9709245","unclassified-kra_ERR9709245_","Clupea","unclassified-kra_ERR9709245_","Clupea","BAL_22_M-HER057","SAMEA14369711","Clupea harengus","M-HER057",15309945266,"ERS11963939","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010","BLEK",15.667,56.100
"ERR9709246","unclassified-kra_ERR9709246_","Clupea","unclassified-kra_ERR9709246_","Clupea","BAL_22_M-HER058","SAMEA14369712","Clupea harengus","M-HER058",24665772688,"ERS11963940","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010","BLEK",15.667,56.100
"ERR9709247","unclassified-kra_ERR9709247_","Clupea","unclassified-kra_ERR9709247_","Clupea","BAL_22_M-HER059","SAMEA14369713","Clupea harengus","M-HER059",15749399962,"ERS11963941","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010","BLEK",15.667,56.100
"ERR9709248","unclassified-kra_ERR9709248_","Clupea","unclassified-kra_ERR9709248_","Clupea","BAL_22_M-HER061","SAMEA14369714","Clupea harengus","M-HER061",18900037310,"ERS11963942","Atlantic Spring Spawning herring","tissue","Idefjord - Inner, Norway, 2010","IDEI",11.4,59.05
"ERR9709249","unclassified-kra_ERR9709249_","Clupea","unclassified-kra_ERR9709249_","Clupea","BAL_22_M-HER062","SAMEA14369715","Clupea harengus","M-HER062",15528906440,"ERS11963943","Atlantic Spring Spawning herring","tissue","Idefjord - Inner, Norway, 2010","IDEI",11.4,59.05
"ERR9709251","unclassified-kra_ERR9709251_","Clupea","unclassified-kra_ERR9709251_","Clupea","BAL_22_M-HER064","SAMEA14369717","Clupea harengus","M-HER064",12005162588,"ERS11963945","Atlantic Spring Spawning herring","fin tip","Idefjord - Outer, Norway, 2010","IDEO",11,59
"ERR9709252","unclassified-kra_ERR9709252_","Clupea","unclassified-kra_ERR9709252_","Clupea","BAL_22_M-HER065","SAMEA14369718","Clupea harengus","M-HER065",18323072350,"ERS11963946","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003","RISO",9.2342,58.7206
"ERR9709253","unclassified-kra_ERR9709253_","Clupea","unclassified-kra_ERR9709253_","Clupea","BAL_22_M-HER066","SAMEA14369719","Clupea harengus","M-HER066",13133216242,"ERS11963947","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003","RISO",9.2342,58.7206
